published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-07-07,931.00,971.90,931.00,957.00,0.74,3825.00,3616442.50,1
2026-07-08,937.80,937.80,904.00,912.00,-4.70,5265.00,4822965.40,-1
2026-07-09,920.00,920.00,892.50,901.00,-1.21,4535.00,4077738.60,-1
2026-07-10,899.00,925.00,893.40,893.40,-0.84,11603.00,10569201.40,-1
2026-07-13,924.00,924.00,855.60,862.00,-3.51,6452.00,5678712.50,-1
2026-07-14,845.00,879.00,845.00,873.90,1.38,7591.00,6547547.00,1
2026-07-15,898.50,900.00,866.30,889.00,1.73,3328.00,2927401.40,1
2026-07-16,868.10,899.00,868.10,874.30,-1.65,1920.00,1693768.30,-1
2026-07-17,900.50,1004.00,890.00,1004.00,14.83,14021.00,13315022.30,1
2026-07-20,1000.00,1050.00,981.00,1029.80,2.57,5311.00,5436374.00,1
2026-07-21,1028.00,1050.00,986.00,999.80,-2.91,5627.00,5674977.30,-1
2026-07-22,970.30,1008.00,970.30,1008.00,0.82,2903.00,2881625.70,1
2026-07-23,980.00,1087.00,960.00,1060.00,5.16,12382.00,12714673.50,1
2026-07-24,980.00,1087.00,960.00,1060.00,5.16,12382.00,12714673.50,1
