published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-05-08,1086.40,1086.40,1081.10,1085.00,0.18,259.00,280858.50,1
2026-05-11,1085.00,1090.00,1084.00,1085.00,0.00,190.00,206350.00,0
2026-05-12,1094.00,1095.00,1085.00,1085.00,0.00,130.00,141917.50,0
2026-05-13,1085.00,1086.00,1080.00,1084.00,-0.09,225.00,243851.00,-1
2026-05-14,1081.00,1100.00,1081.00,1083.10,-0.08,652.00,713168.10,-1
2026-05-15,1099.00,1099.00,1083.10,1087.00,0.36,270.00,293918.50,1
2026-05-18,1087.00,1100.00,1084.10,1085.00,-0.18,420.00,459367.50,-1
2026-05-19,1085.00,1097.90,1075.80,1090.00,0.46,384.00,420005.60,1
2026-05-20,1090.00,1099.00,1090.00,1090.00,0.00,385.00,422192.50,0
2026-05-21,1083.00,1100.00,1083.00,1099.90,0.91,536.00,588013.90,1
2026-05-22,1080.30,1099.00,1080.20,1099.00,-0.08,125.00,135640.00,-1
2026-05-25,1081.00,1099.00,1081.00,1099.00,0.00,200.00,217855.00,0
2026-05-27,1095.00,1095.00,1090.00,1090.00,-0.91,80.00,87475.00,-1
2026-05-28,1095.00,1095.00,1090.00,1090.00,-0.91,80.00,87475.00,-1
2026-05-29,1095.00,1095.00,1090.00,1090.00,-0.91,80.00,87475.00,-1
2026-06-01,1085.00,1098.00,1085.00,1098.00,0.73,375.00,409210.00,1
2026-06-02,1088.00,1098.00,1088.00,1098.00,0.00,280.00,305857.50,0
2026-06-03,1080.00,1099.70,1080.00,1098.00,0.00,395.00,433115.00,0
2026-06-04,1095.00,1100.00,1090.00,1097.00,-0.09,290.00,317947.50,-1
2026-06-05,1095.00,1097.00,1090.00,1105.00,0.73,50.00,54800.00,1
2026-06-08,1084.00,1095.00,1084.00,1088.50,-1.49,185.00,201432.50,-1
2026-06-09,1080.10,1102.00,1080.10,1085.50,-0.28,270.00,294665.00,-1
2026-06-10,1090.00,1090.00,1090.00,1090.00,0.41,50.00,54500.00,1
2026-06-11,1098.00,1099.00,1085.10,1085.10,-0.45,125.00,136552.50,-1
2026-06-12,1100.00,1100.00,1086.10,1086.20,0.10,125.00,136557.50,1
2026-06-15,1087.30,1087.30,1087.00,1087.00,0.07,100.00,108717.50,1
2026-06-16,1087.00,1095.00,1087.00,1095.00,0.74,125.00,136220.50,1
2026-06-17,1090.10,1099.00,1087.00,1099.00,0.37,100.00,109277.50,1
2026-06-18,1087.20,1087.20,1087.20,1087.20,-1.07,25.00,27180.00,-1
2026-06-19,1087.50,1087.50,1086.20,1086.50,-0.06,75.00,81505.00,-1
2026-06-22,1100.00,1105.00,1097.00,1098.10,1.07,680.00,748542.50,1
2026-06-23,1095.00,1110.00,1087.00,1087.00,-1.01,300.00,330052.50,-1
2026-06-24,1095.10,1118.00,1095.10,1114.90,2.57,930.00,1033618.50,1
2026-06-25,1100.00,1100.00,1095.60,1095.60,-1.73,235.00,257831.00,-1
2026-06-26,1100.00,1110.00,1097.60,1113.80,1.66,218.00,240539.00,1
2026-06-29,1094.20,1110.00,1094.20,1096.50,-1.55,110.00,121220.00,-1
2026-06-30,1095.00,1135.00,1095.00,1098.30,0.16,565.00,624999.50,1
2026-07-01,1094.10,1110.00,1094.10,1100.00,0.15,200.00,220007.50,1
2026-07-02,1086.10,1109.00,1086.10,1109.00,0.82,375.00,413987.50,1
2026-07-03,1116.00,1140.00,1105.80,1110.00,0.09,20658.00,23522489.00,1
2026-07-06,1091.20,1111.00,1091.20,1100.00,-0.90,650.00,717725.00,-1
2026-07-07,1100.30,1100.30,1100.30,1100.30,0.03,25.00,27507.50,1
2026-07-08,1101.00,1115.00,1100.00,1115.00,1.34,470.00,517592.00,1
2026-07-09,1100.50,1100.50,1100.50,1113.00,-0.18,80.00,88102.50,-1
2026-07-10,1113.00,1113.00,1113.00,1113.00,0.00,25.00,27825.00,0
2026-07-13,1113.00,1113.00,1101.50,1112.00,-0.09,158.00,174508.00,-1
2026-07-14,1110.00,1120.00,1105.10,1120.00,0.72,636.00,707178.50,1
